compound_name,SMILES,DTXSID,pmids,n_articles
Pioglitazone,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,DTXSID3037129,"['36068789', '35792220', '35757108', '35628311', '35584460', '35525585', '35446225', '35343021', '35156664', '35092562', '34864131', '34821176', '34747283', '34645362', '34627516', '34593018', '34543702', '34468908', '34314919', '34225016', '34082428', '33962676', '33653417', '33647265', '33307106', '33155993', '33001232', '32865011', '32864099', '32673838', '32655263', '32626922', '32613381', '32605459', '32589349', '32473317', '32439335', '32408505', '32393087', '32353564', '32325134', '32216605', '32208864', '32138198', '32077986', '32067934', '32028848', '32020228', '31926312', '31885796', '31882549', '31877771', '31776781', '31582651', '31577451', '31481505', '31425380', '31408626', '31371410', '31348919', '31279153', '31277592', '31233785', '31164031', '31128217', '30922126', '30896803', '30743173', '30655107', '30639402', '30623373', '30507781', '30417218', '30338483', '30271148', '30250007', '30105672', '30104075', '30031879', '30001846', '29984341', '29959408', '29734669', '29716851', '29715453', '29669060', '29659380', '29634314', '29618574', '29606029', '29578037', '29523932', '29510081', '29464937', '29453462', '29400412', '29299768', '29247773', '29182629', '29169079']",100
Benoxaprofen,CC(C1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)Cl)C(=O)O,DTXSID4022650,"['28742852', '19773537', '18690722', '18606461', '17880178', '16445116', '11595413', '7897758', '8287508', '2069584', '2198051', '2196638', '2132934', '2562425', '2916245', '3056843', '3134741', '3312930', '3553833', '3678549', '3305035', '2961055', '3798486', '2947294', '3552580', '3547001', '3542848', '4059903', '3159761', '4007876', '4087309', '3903180', '2932325', '6526401', '6497536', '6495341', '6236306', '6487459', '6431639', '6737371', '6241438', '6606183', '6362572', '6813936', '7111439', '6803979', '7105480', '7066181', '7084286', '7084279', '6979480', '6789963', '6993676', '6993665']",54
Erythromycin estolate,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,DTXSID4022991,"['17522070', '16504461', '12944587', '12700435', '9432528', '8889721', '1676027', '2756528', '3391880', '3372362', '3526067', '2864534', '2992120', '4060187', '4072263', '3900467', '4075997', '6595996', '6823163', '7031547', '354037', '909315', '323837', '1010783', '4409491', '4765955', '14130320', '14057607', '14037477', '13905478']",30
Clozapine,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,DTXSID5022855,"['36047190', '36018467', '35979611', '35916148', '35876180', '35710824', '35605549', '35575633', '35535012', '35367290', '35195764', '35178700', '35105285', '35062840', '35033943', '35033194', '35030448', '34979820', '34968598', '34935985', '34911124', '34902479', '34862591', '34752845', '34645395', '34461790', '34182906', '34137281', '34129738', '34098110', '34098070', '34030165', '34016669', '33957192', '33899165', '33849480', '33780181', '33736477', '33667055', '33656787', '33636190', '33631694', '33550992', '33546578', '33538213', '33537987', '33514021', '33479273', '33461363', '33411994', '33401984', '33277605', '33206415', '33169202', '33143542', '33098837', '33000411', '32987640', '32930009', '32888176', '32871538', '32843670', '32786547', '32780823', '32730864', '32681854', '32673075', '32619731', '32593951', '32593477', '32518001', '32450478', '32450360', '32434548', '32415875', '32376004', '32341640', '32307853', '32289791', '32259826', '32245597', '32151688', '32145755', '32109805', '32108447', '32061743', '32054069', '32025768', '32020166', '32009493', '31932474', '31919522', '31908124', '31875650', '31834987', '31749126', '31722571', '31614374', '31608439', '31501912']",100
Ticlopidine,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,DTXSID5023669,"['36169256', '35997941', '35848895', '35678974', '34431289', '34410044', '34357562', '34117726', '33964545', '33931001', '33837924', '33823239', '33413066', '33309519', '32927660', '32835535', '32731027', '32675750', '32456353', '32439748', '32374907', '32077582', '32062793', '31941150', '31900240', '31888640', '31713877', '31571629', '31484595', '31349878', '31312845', '30962288', '30922852', '30717501', '30662363', '30543914', '30537341', '30452466', '30367373', '30212276', '30179004', '30176938', '30098132', '29914573', '29858578', '29777510', '29496531', '29453687', '29352151', '29348385', '29206871', '29050464', '29032872', '29025779', '28990360', '28921447', '28726718', '28709700', '28587582', '28576652', '28465153', '28449426', '28371087', '28202337', '28164572', '28135763', '28052578', '28043905', '27992784', '27862978', '27822013', '27740874', '27479011', '27715344', '27543010', '27475285', '27468662', '27401285', '27238723', '27224446', '27125614', '27055051', '26719230', '26695516', '26654298', '26519900', '26515635', '26446447', '26327247', '26263063', '26230053', '26179606', '26173871', '26160418', '25970225', '25800075', '25782570', '25761653', '25503174', '25308929']",100
Triclosan,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,DTXSID5032498,"['36232730', '36206496', '36182156', '36099984', '36080126', '36049513', '35970220', '35952739', '35948171', '35896521', '35882415', '35779726', '35746113', '35738461', '35724794', '35721761', '35718130', '35700189', '35623770', '35569301', '35563431', '35526779', '35523094', '35499739', '35413382', '35410624', '35409481', '35331100', '35286965', '35093359', '35089017', '35013263', '35011648', '34999105', '34890605', '34801682', '34774506', '34681664', '34486984', '34479082', '34455189', '34452695', '34438492', '34315018', '34307271', '34193021', '34180209', '34160118', '34147998', '34126513', '34082246', '34068616', '33975105', '33819548', '33779718', '33719414', '33718320', '33611912', '33519715', '33516901', '33486682', '33485045', '33435852', '33384459', '33383428', '33310578', '33302073', '33297179', '33295265', '33287448', '33229553', '33223207', '33215293', '33199068', '33171535', '33157965', '33155083', '33097990', '33068970', '33064576', '33053737', '33032226', '32955413', '32835969', '32835763', '32805251', '32490822', '32485445', '32449871', '32321163', '32315921', '32248967', '32169736', '32145489', '32120140', '32097806', '32062213', '32053938', '32032889', '32026370']",100
Acitretin,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC,DTXSID6022553,"['34888886', '34623042', '34544494', '34328370', '34045724', '33891841', '33368934', '33279646', '33219856', '32466689', '31738938', '30872401', '30134735', '29851132', '29503541', '29500825', '29252180', '28903160', '28746836', '28476075', '28318525', '27525564', '27402434', '26911891', '26627198', '26340597', '26340416', '25546246', '25529463', '25517130', '25265261', '25198403', '24841586', '24350319', '24171216', '24099069', '24011318', '23474391', '23384018', '22594656', '22580858', '22301853', '21882176', '21818508', '21766756', '21515863', '21388456', '21388453', '20654269', '20337816', '20002243', '20000864', '19821298', '19811848', '19710554', '19710551', '19668933', '19407953', '19196302', '19112756', '18341851', '19065355', '18645156', '18624682', '18473710', '18410980', '17854741', '17637822', '17538807', '17430756', '17085995', '17014486', '16086658', '15900797', '15659144', '15499760', '15470719', '15450342', '15251178', '15180467', '15099371', '14988684', '14578096', '14578095', '14578093', '12894129', '12467335', '12381213', '12241129', '12218221', '11978137', '11586072', '11422189', '11279785', '11148479', '11115167', '10894958', '10582161', '10559583', '10495381']",100
Ketoconazole,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,DTXSID7029879,"['36142698', '35994611', '35955741', '35887063', '35785554', '35626634', '35596682', '35484684', '35469867', '35335296', '35314168', '35263627', '35038564', '34935100', '34923544', '34798123', '34750194', '34742755', '34627953', '34443314', '34431289', '34380225', '34363245', '34326139', '34271081', '34181028', '34161878', '34086140', '33775687', '33764537', '33737681', '33730100', '33571642', '33446525', '33440728', '33436520', '33305580', '33288321', '33254481', '33201683', '33199804', '32810616', '32659470', '32633501', '32627303', '32535269', '32484342', '32394829', '32331852', '32162908', '32063487', '32060585', '31986050', '31982514', '31970354', '31941150', '31926082', '31893943', '31700024', '31689623', '31542384', '31538908', '31474739', '31470602', '31414593', '31352099', '31330226', '31293154', '31284993', '31278717', '31212012', '31134657', '31119768', '31103741', '31099283', '30985903', '30962288', '30782418', '30552464', '30517509', '30481082', '30427533', '30215542', '30203651', '30154429', '30148835', '29847931', '29801787', '29793051', '29782822', '29716849', '29524695', '29415952', '29256130', '29189730', '29185916', '29155491', '29143966', '29016694', '28960401']",100
Rosiglitazone,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,DTXSID7037131,"['36075462', '35777529', '35762558', '35670047', '35575305', '35567983', '35324426', '35162986', '35011648', '34821176', '34699766', '34627516', '34586974', '34543702', '34483274', '34443619', '34128319', '34118723', '33848521', '33839462', '33737635', '33307106', '33248214', '33234295', '33082140', '32696819', '32683650', '32613381', '32569747', '32522588', '32353385', '32216605', '32208164', '32138198', '32028848', '31776781', '31671132', '31658492', '31470514', '31401398', '31389267', '31315888', '31294483', '31270305', '31233785', '31212694', '31072232', '31041755', '30880486', '30879083', '30840917', '30710547', '30461012', '30418988', '30392455', '30362509', '30333041', '30311190', '30260248', '30241907', '30218697', '30193945', '30171034', '30152284', '30138673', '30119183', '30027469', '29964054', '29471778', '29441829', '29434588', '29414316', '29408570', '29400412', '29309760', '29222348', '29169079', '29155481', '29058622', '28973666', '28973641', '28854981', '28816564', '28793292', '28790390', '28699343', '28582649', '28539091', '28522250', '28505381', '28369597', '28097882', '28083810', '28024724', '27879033', '27866976', '27240663', '27725436', '27553852', '27553674']",100
Bosentan,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,DTXSID7046627,"['35876888', '34681664', '33482184', '33039464', '32718560', '32583097', '32433892', '32259555', '31134659', '31016663', '30903168', '30118797', '29947542', '29913214', '29855164', '29761207', '29719121', '29330218', '29267497', '29226623', '28724039', '28707522', '28369585', '28315689', '28298655', '28138822', '27665516', '27363785', '27233294', '27145076', '27046439', '26502773', '26420750', '26119269', '26111581', '25660617', '25604973', '25581063', '25467130', '25424997', '25200216', '25084082', '25037519', '25015229', '24973470', '24842639', '24769543', '24498134', '24211272', '23516635', '23387445', '22899584', '22808263', '22796455', '22483689', '22311911', '22119333', '22076415', '21689431', '21392521', '21299444', '21193044', '21165350', '20397741', '19487226', '19302591', '18846270', '18511039', '18263597', '18243424', '18059137', '18052621', '17974986', '17583171', '17374746', '17178064', '17164833', '17137242', '17111027', '17024690', '16856046', '16697324', '16563629', '16552365', '16321319', '16317525', '16311906', '16138351', '15963102', '15750042', '15674947', '15629255', '12944587', '12511536', '12463283', '12450064', '11465653', '11330884', '11309550', '11156886']",100
