compound_name,SMILES,DTXSID,pmids,n_articles
Perfluorooctanoic acid,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID8031865,"['36231722', '36182800', '36174755', '36141595', '36116625', '36108719', '36085159', '36007738', '35982347', '35971705', '35952751', '35914335', '35897426', '35881550', '35863418', '35863238', '35835386', '35835357', '35810818', '35764183', '35752723', '35690277', '35643033', '35611390', '35605832', '35605321', '35597289', '35568291', '35563431', '35537634', '35483471', '35475652', '35472559', '35447424', '35427876', '35427595', '35417148', '35398800', '35390687', '35370244', '35346789', '35337807', '35331797', '35325771', '35219423', '35217143', '35217058', '35195447', '35162986', '35149111', '35143854', '34998808', '34973319', '34955224', '34933042', '34915280', '34896592', '34894427', '34875017', '34866532', '34858347', '34857530', '34801790', '34798108', '34793599', '34774353', '34769660', '34763231', '34763017', '34735953', '34695511', '34656858', '34652459', '34648224', '34592212', '34563660', '34562763', '34555793', '34536543', '34523491', '34520981', '34509478', '34454526', '34444092', '34411760', '34400261', '34383611', '34378915', '34343551', '34333008', '34311832', '34298317', '34293314', '34284018', '34280741', '34246716', '34185510', '34182087', '34157464', '34134420']",100
Toluene,CC1=CC=CC=C1,DTXSID7021360,"['36242012', '36231706', '36196935', '36179646', '36136011', '36102878', '36076654', '36055588', '36055381', '36033830', '36014446', '36001821', '35952469', '35880312', '35792774', '35778571', '35777963', '35773373', '35744973', '35716574', '35697085', '35654991', '35654176', '35640328', '35597292', '35543628', '35508097', '35466827', '35466010', '35415739', '35409860', '35397024', '35393805', '35347608', '35301910', '35285384', '35245614', '35212190', '35201508', '35162769', '35158456', '35149107', '35148729', '35102507', '35101395', '35091367', '35079968', '35077733', '35055545', '35045333', '35008945', '35000923', '34991264', '34932977', '34921580', '34905371', '34838816', '34816964', '34809829', '34809667', '34708960', '34678460', '34647343', '34647334', '34617245', '34593194', '34590225', '34577124', '34536356', '34481904', '34481063', '34468180', '34414542', '34360380', '34340185', '34302825', '34263722', '34251524', '34225126', '34032247', '34020325', '34013693', '33978266', '33952112', '33942666', '33907828', '33894808', '33836794', '33787221', '33711354', '33705722', '33671888', '33668186', '33662517', '33636771', '33594946', '33557734', '33512020', '33506745', '33475793']",100
Valproic acid sodium salt,CCCC(CCC)C(=O)[O-].[Na+],DTXSID5037072,"['35618243', '34157971', '28693025', '28641949', '26316212', '24211272', '23917397', '19101580', '11971754', '10413334', '10199580', '1570902', '1729766', '1985825', '2353317', '2106175', '2506334', '3131628', '6437962', '6327221', '581222']",21
Valproic acid,CCCC(CCC)C(=O)O,DTXSID6023733,"['36232629', '36219797', '36175588', '36161425', '36058581', '36058508', '36052071', '36040614', '36027995', '35973301', '35920856', '35906621', '35904287', '35863977', '35764848', '35751934', '35747443', '35738908', '35700809', '35648200', '35635674', '35618243', '35594946', '35563273', '35543257', '35532929', '35490357', '35461629', '35429181', '35427849', '35390239', '35384534', '35379099', '35352204', '35313886', '35253521', '35246604', '35235162', '35187701', '35185478', '35182575', '35170557', '35157897', '35090963', '35075221', '35064532', '35059757', '35039166', '35025708', '35011339', '34942064', '34923091', '34919245', '34911124', '34871708', '34866359', '34817852', '34801733', '34785318', '34780921', '34778935', '34764412', '34743582', '34742744', '34737154', '34718827', '34695561', '34686779', '34674775', '34658283', '34645381', '34628237', '34625953', '34625331', '34596807', '34583727', '34580381', '34580351', '34463268', '34455033', '34445937', '34419711', '34396386', '34382515', '34344289', '34333065', '34330723', '34296824', '34284116', '34274893', '34259092', '34252196', '34216038', '34201098', '34196916', '34157971', '34153897', '34149964', '34060145', '34048819']",100
Tributyltin,CCCC[Sn](CCCC)CCCC,DTXSID0040709,"['35998708', '35777303', '35563431', '35405286', '35338461', '35016149', '34619157', '34547448', '34452694', '34329126', '34303232', '34268597', '34020283', '33720505', '33549631', '33481012', '33044243', '32841708', '32835916', '32353385', '31986423', '31985273', '31939706', '31927052', '31733229', '31634547', '31506492', '31401084', '31288122', '31271907', '31270303', '31129395', '31006824', '30879083', '30826616', '30743143', '30523527', '30502697', '30496568', '30350012', '30270264', '30191590', '30159842', '30138673', '30108368', '30045567', '30027469', '30015594', '29951691', '29913420', '29675927', '29599249', '29580985', '29549738', '29543591', '29532501', '29222657', '29222412', '29119384', '28975368', '28936609', '28840599', '28800112', '28794470', '28774778', '28709983', '28398592', '28384577', '28376844', '28205155', '28180948', '28052490', '28011154', '27815650', '27678064', '26018654', '27602597', '27477861', '27310180', '27133438', '27129022', '26961604', '26812627', '26662104', '26398948', '26228090', '26085280', '25985376', '25932594', '25909344', '25815107', '25777084', '25765474', '25743928', '25687586', '25683035', '25597668', '25542143', '25465476', '25461900']",100
HC yellow no.13,C1=CC(=C(C=C1C(F)(F)F)[N+](=O)[O-])NCCO,DTXSID10146483,[],0
Chloroform,C(Cl)(Cl)Cl,DTXSID1020306,"['36232888', '36144693', '35968491', '35796441', '35789647', '35475992', '35458597', '35249198', '35227781', '35086537', '34995942', '34994396', '34973941', '34885777', '34878079', '34860122', '34825856', '34817360', '34813313', '34799336', '34735949', '34688871', '34675483', '34627212', '34560864', '34543938', '34468180', '34391733', '34357943', '34314806', '34275853', '34214379', '34172122', '34039224', '33909237', '33867327', '33760860', '33705722', '33674027', '33612477', '33524509', '33523638', '33413289', '33303920', '33295549', '33237607', '33130164', '33103680', '33035558', '33026246', '33000335', '32951586', '32697959', '32609907', '32583768', '32497993', '32490983', '32415402', '32385792', '32376019', '32374889', '32311673', '32311649', '32298276', '32294118', '32241199', '32183153', '32149090', '32100010', '32018134', '31987857', '31952077', '31830549', '31830547', '31813599', '31734793', '31734448', '31720798', '31704519', '31691818', '31669101', '31653139', '31638027', '31569451', '31539958', '31536058', '31523017', '31500006', '31474160', '31418667', '31359772', '31349433', '31323486', '31303596', '31199992', '31174688', '31123783', '31026539', '30999569', '30977007']",100
Decamethylcyclopentasiloxane,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,DTXSID1027184,"['35860956', '31683444', '30616861', '30292575', '28842205', '28780200', '28718908', '28511864', '28408153', '28092229', '27845160', '27659059', '27601420', '26772617', '26724268', '26577197', '26213270', '26211424', '26184430', '26148665', '26111607', '25749636', '25454240', '18583370', '18513896', '18368622', '18178298', '17630416', '17175556', '14575643', '10536755', '10445748', '9710964', '9629617']",34
Tetrachloroethylene,C(=C(Cl)Cl)(Cl)Cl,DTXSID2021319,"['35688002', '35304307', '35196120', '35156261', '35033085', '34995942', '33988684', '33763835', '33748070', '32445755', '32415402', '31838886', '31523017', '31422416', '31310931', '31121240', '31059379', '30851533', '30827336', '30801570', '30666385', '30202895', '30014895', '29970097', '29857080', '29380200', '28910252', '28903486', '28818516', '28148637', '27706495', '27511820', '27412368', '27325074', '26822242', '26563796', '26376727', '26198647', '26011697', '25889838', '25794648', '25665826', '25605280', '25413571', '25387537', '25270247', '25145040', '24910396', '24870824', '24659585', '24556010', '24531164', '24304547', '24116666', '23858662', '23571160', '23559643', '23487841', '23453848', '23104734', '23104733', '22784657', '22522125', '22469066', '22467035', '22366644', '22264316', '22142966', '22136431', '22083847', '22073411', '21863102', '21728756', '21609728', '21600013', '21466818', '21416139', '21392400', '21218043', '21172794', '20863050', '20828338', '20044880', '20041493', '19953421', '19778411', '19557610', '19552540', '19464572', '19367044', '19339666', '19101834', '19052528', '19031421', '18949603', '18353612', '18093057', '17433522', '17365617', '17181943']",100
HC blue 15,CC1=CC(=CC(=C1N)C)C(=C2C=C(C(=N)C(=C2)C)C)C3=C(C=CC=C3Cl)Cl.OP(=O)(O)O,DTXSID3072793,[],0
Methyl pyrrolidone,CN1CCCC1=O,DTXSID6020856,"['34619432', '33881584', '33113467', '32672803', '32342556', '32152394', '31401245', '30167791', '27665779', '26776754', '26324095', '25823509', '24078144', '23337464', '23313787', '23301830', '22947486', '21998005', '20429851', '20127996', '21486529', '19875680', '17981408', '17721780', '17103143', '16897094', '16321482', '16190162', '16001206', '15792553', '15458014', '15198717', '14619948', '12734639', '12684812', '12376129', '12191887', '11762670', '11722496', '11665646', '11300676', '11100951', '10901113', '10872381', '9252049', '8823662', '1544607', '2154835', '3288686', '6227672', '7185604']",51
Cetylpyridinium chloride,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],DTXSID6041761,"['36231450', '35149080', '34556596', '34144174', '33838372', '33422997', '33022792', '32936948', '32451736', '31982400', '31520265', '30012495', '29904765', '29893927', '29178720', '28885978', '28610913', '27889586', '26911580', '26081306', '25830631', '25681322', '25576103', '25290854', '24355776', '22515073', '22188809', '21547372', '21320582', '20849953', '19540328', '16477395', '15233867', '15183463', '12069171', '11397552', '10808094', '10068144', '8364961', '1765331', '2401097', '2324958', '3134251', '6929085']",44
Vinyl chloride,C=CCl,DTXSID8021434,"['35987373', '35905704', '35627834', '35627783', '35561914', '35548910', '35149497', '35080929', '34910474', '34717031', '34601724', '34065028', '33973497', '33739244', '33234876', '33112144', '33025846', '32445754', '32415402', '32083706', '31984951', '31774537', '31543680', '31524302', '31499194', '31445928', '31212930', '31134516', '30999172', '30834571', '30666385', '30578676', '30458352', '30389162', '30384070', '29924722', '29909270', '29903205', '29727174', '29565143', '29215482', '29209916', '29199597', '29119762', '28749179', '28263175', '28260558', '27939457', '27765658', '27801956', '27693805', '27544804', '27447022', '27234561', '27157768', '26962056', '26912665', '29446298', '29446294', '26653390', '26376727', '26319235', '26312496', '25942834', '25935678', '25850246', '25842495', '25831943', '25636809', '25577988', '25533362', '25499861', '25376446', '25376416', '25335423', '25242410', '25229474', '25169084', '25115749', '25051668', '25006327', '25006326', '24973492', '24819470', '24788981', '24731051', '24685488', '24552493', '24494825', '24464562', '24464561', '24304547', '24292955', '23981515', '23785824', '23672524', '23567495', '23562908', '23499371', '23429231']",100
5-Amino-6-chloro-o-cresol,CC1=C(C(=C(C=C1)N)Cl)O,DTXSID80233531,['15513822'],1
2-aminophenol,C1=CC=C(C(=C1)N)O,DTXSID8024498,"['32198779', '30532237', '30471578', '24370547', '24275645', '22946548', '20541004', '19877522', '15513822', '9772105', '8644109', '8081359', '3133123', '3670278', '6538164']",15
C.I. basic violet 2,CC1=CC(=C(C2=CC(=C(C=C2)N)C)C3=CC(=C(C=C3)N)C)C=CC1=N.Cl,DTXSID80879817,[],0
2-phenoxyethanol,C1=CC=C(C=C1)OCCO,DTXSID9021976,"['35550153', '35301938', '35217105', '34638865', '34481784', '34233207', '33624850', '33596452', '33293157', '32387382', '32374857', '31758863', '31588615', '31242430', '31041411', '30379831', '27825833', '27740510', '27497993', '26955064', '26206148', '26188115', '23838187', '22118339', '22101779', '22036980', '22008535', '21273685', '20549228', '20424565', '18830863', '15863605', '11853695', '10959804', '9463535', '2086313', '2816264']",37
2-[4-(2-hydroxyethylamino)-3-nitroanilino]ethanol,C1=CC(=C(C=C1NCCO)[N+](=O)[O-])NCCO,DTXSID90232939,[],0
3-(4-tert-butylphenyl)-2-methylpropanal,CC(CC1=CC=C(C=C1)C(C)(C)C)C=O,DTXSID9026500,[],0
"2-(2,5-diaminophenyl)ethanol;sulfuric acid",C1=CC(=C(C=C1N)CCO)N.OS(=O)(=O)O,DTXSID90879808,[],0
"Gentamicin, Gentamycin",CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,DTXSID5034642,"['36235024', '36228308', '36161816', '36026605', '35924433', '35882153', '35781072', '35715915', '35533792', '35383764', '35238282', '35026790', '35023902', '35007042', '34902267', '34769046', '34740086', '34651662', '34649332', '34624440', '34533819', '34370216', '34362436', '34350654', '34193353', '34087583', '34006164', '33956344', '33945155', '33940387', '33818792', '33792832', '33713642', '33682076', '33667563', '33491416', '33458886', '33422932', '33397342', '33333277', '33332894', '33290828', '33263228', '33116107', '33116090', '33029104', '32993185', '32989909', '32973191', '32941946', '32897812', '32641561', '32641397', '32612358', '32601158', '32583780', '32545254', '32507958', '32358683', '32319943', '32259317', '32196862', '32176139', '32118804', '32110797', '31990011', '31958945', '31914328', '31857146', '31805577', '31786671', '31746457', '31721240', '31718688', '31693140', '31675669', '31630269', '31527598', '31501843', '31490701', '31448430', '31441466', '31353701', '31333845', '31236744', '31147061', '31138938', '31101366', '31029327', '31021006', '30980613', '30870364', '30870347', '30869201', '30787404', '30723876', '30660586', '30653977', '30645155', '30606578']",100
Imipramine,CN(C)CCCN1C2=C(C=CC=C2)CCC2=C1C=CC=C2,DTXSID1043881,"['36080230', '35768831', '35748891', '35236805', '34910958', '34810289', '34390690', '34161206', '34088951', '33798597', '33665961', '33511484', '33240825', '33109198', '32999198', '32930406', '32877802', '32446839', '32252558', '32238008', '32213465', '32149465', '32115632', '32088181', '32064503', '31759112', '31075295', '31069424', '30901660', '30680684', '30105632', '30091005', '30016730', '29990546', '29953580', '29669730', '29569964', '29417943', '29352450', '29332813', '29136602', '28911960', '28904299', '28893276', '28778545', '28717101', '28655495', '27886774', '27639682', '27376459', '27282087', '27037827', '26927663', '26789652', '26755541', '26569535', '26433268', '26376691', '26335978', '26333987', '26219290', '26074092', '25836357', '25681757', '25618654', '25448279', '25403520', '25371526', '25290207', '25226197', '25220610', '25043733', '24980264', '24785760', '24782142', '24752421', '24662848', '24636563', '24482381', '24406719', '24362450', '24196095', '24129834', '23835040', '23816813', '23661522', '23611809', '23588782', '23504701', '23394815', '23266306', '23001316', '22823437', '22820675', '22811332', '22767118', '22335772', '22210095', '21996251', '21907773']",100
Minocycline,CN(C)C1=C2CC3CC4C(N(C)C)C(=O)C(C(N)=O)=C(O)C4(O)C(=O)C3=C(O)C2=C(O)C=C1,DTXSID1045033,"['36089583', '35906621', '35647655', '35527174', '35513057', '35426093', '35401553', '35351628', '35113224', '35065989', '34882041', '34754016', '34736541', '34324917', '34311051', '34261577', '34218872', '34208184', '34165516', '34060250', '34052828', '34004209', '33817984', '33792800', '33767265', '33758207', '33667472', '33662422', '33639593', '33610928', '33595954', '33464681', '33402167', '33219264', '33127584', '33122657', '32919984', '32873175', '32830797', '32766308', '32743777', '32599605', '32561452', '32546235', '32506371', '32485569', '32468355', '32222586', '32109512', '32024534', '32015787', '31982605', '31970667', '31801685', '31783250', '31756420', '31738372', '31657659', '31627177', '31424014', '31278875', '31254639', '31241016', '31196059', '31179779', '31133343', '31078920', '31037378', '30867321', '30817887', '30816653', '30693383', '30684467', '30669854', '30638629', '30614506', '30515523', '30511379', '30362702', '30282353', '30247264', '30169421', '30109452', '30075790', '30051350', '29948949', '29931196', '29797419', '29712738', '29667128', '29625165', '29568997', '29559273', '29555183', '29548657', '29458193', '29454770', '29369189', '29353043', '29199243']",100
Sodium citrate,O=C(O)CC(O)(CC(=O)O)C(=O)O,DTXSID2026363,"['35633140', '35260656', '34943889', '34924279', '34896600', '34549665', '34525352', '34470562', '34223647', '33978409', '33935497', '33531453', '33530098', '33422399', '33310102', '33306414', '33282938', '32939821', '32819224', '32682952', '32367312', '32305626', '35368603', '32023416', '31882442', '31749616', '31739258', '31542401', '31500050', '31495985', '31418700', '31159811', '31106633', '30940497', '30853462', '30827146', '30731113', '30705586', '30384844', '30184741', '29435808', '29420454', '29402864', '29231136', '29192556', '29070571', '28551574', '28509350', '28506813', '28468928', '28418357', '28416559', '28132645', '27931218', '27694000', '27527498', '27439971', '27412259', '27159603', '26580078', '26467268', '26303333', '26293481', '26260703', '25628225', '25592092', '25586703', '25565826', '25542997', '25433326', '25421879', '25096804', '24874306', '24835429', '24717115', '24646126', '24601981', '24530320', '24500397', '23499830', '23473903', '23395295', '23046612', '22975145', '22917943', '22759355', '22621278', '22515732', '22510488', '22248200', '21703347', '21162694', '21145193', '21105156', '21082814', '20957214', '20942228', '20669091', '20562123', '20529547']",100
Tigecycline,CN(C)C1=C2CC3CC4C(N(C)C)C(=O)C(C(N)=O)=C(O)C4(O)C(=O)C3=C(O)C2=C(O)C(NC(=O)CNC(C)(C)C)=C1,DTXSID2048581,"['36046445', '36028209', '35830449', '35647655', '35309213', '35178567', '35088963', '35006980', '34632905', '34324917', '34033499', '33786847', '33610508', '33491416', '33258796', '33189756', '32757849', '32664140', '32652772', '32400243', '32349999', '32294173', '31952118', '31845113', '31808159', '31783250', '31718688', '31630269', '31426870', '31424014', '31365977', '31361565', '31355341', '31236595', '31209921', '31118131', '31023357', '30797689', '30637925', '30597674', '30558639', '30528772', '30304277', '30106599', '30052813', '29897796', '29749367', '29718248', '29559273', '29516897', '29448851', '29411661', '29108947', '29019016', '28904326', '28870729', '28700943', '28552659', '28289036', '27959419', '27796474', '27768122', '27690475', '27599690', '27019964', '26885722', '26799840', '26629598', '26621850', '25874924', '25625193', '25583881', '25352037', '25150050', '25091170', '24948450', '24909419', '24766095', '24734221', '23988774', '23979853', '23941599', '23746717', '23409822', '23390918', '23357291', '23290507', '23185821', '22541970', '22554305', '21980070', '21958044', '21740298', '21642833', '21549575', '20973687', '20837632', '20097452', '20053150', '19929704']",100
Amikacin,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,DTXSID3022586,"['36184645', '35830449', '35647655', '35618200', '35442461', '35238282', '35206156', '35080463', '34882292', '34788375', '34740109', '34521664', '34435316', '34357963', '34324917', '34289985', '34196358', '34193353', '34191252', '34039231', '34022015', '33786847', '33737147', '33691624', '33595792', '33560672', '33466764', '33346630', '33228673', '33045338', '32947556', '32896577', '32881037', '32696977', '32691293', '32619707', '32571819', '32401864', '32345761', '32319943', '32259317', '32118804', '32113122', '32033408', '32005313', '31964795', '31918110', '31864009', '31649215', '31599239', '31481443', '31448430', '31432468', '31391343', '31347498', '31228434', '31176754', '31159865', '31141575', '31138938', '31122273', '31010865', '30865034', '30660586', '30576393', '30496466', '30397061', '30369302', '30304277', '30138519', '29569124', '29411661', '29390522', '29151378', '29120971', '29017888', '28993332', '28948652', '28929815', '28918351', '28904299', '28793869', '28649069', '28633708', '28596137', '28560451', '28558927', '28485320', '28426384', '28150316', '28069654', '27999047', '27959419', '27889248', '27748623', '27645247', '27623706', '27570987', '27516474', '27506679']",100
Cumene hydroperoxide,CC(C)(OO)C1=CC=CC=C1,DTXSID3024869,"['31130017', '30963590', '29283995', '29215266', '28461233', '26985019', '26295823', '25451641', '24969468', '24959911', '23466460', '22768918', '21876218', '21598179', '21372496', '21036150', '20727966', '20716828', '19943895', '19928803', '19753610', '19753602', '19303893', '19053182', '17715568', '17665865', '17478480', '17172277', '16998864', '16984002', '16616895', '16376693', '16280386', '15946636', '15019838', '14972014', '14511773', '12576586', '12437336', '12108547', '11248222', '11201055', '11164984', '10913824', '10681096', '10597136', '10496145', '9933729', '9928627', '9641267', '9491389', '9368031', '9284096', '9114986', '9073611', '8840036', '8744898', '8727670', '8598212', '8571390', '7861001', '7749601', '8160200', '8135741', '8223610', '8392529', '8496623', '8428933', '8416816', '1471149', '1469301', '1394845', '1632637', '1599497', '1601324', '1589879', '1939125', '1910216', '1946196', '1949909', '1860458', '1897935', '1900205', '2014515', '2069054', '1778502', '1983144', '1980544', '2337416', '2276339', '2074043', '2593376', '2559440', '2747627', '2519713', '2680387', '2536971', '2509181', '2477312', '3192623']",100
Colchicine,COC1=CC=C2C(=CC1=O)C(NC(C)=O)CCC1=CC(OC)=C(OC)C(OC)=C12,DTXSID5024845,"['36198677', '36104598', '36102954', '36018729', '35964504', '35812376', '35792315', '35734802', '35714680', '35675118', '35658642', '35618020', '35605363', '35526597', '35525994', '35499388', '35426205', '35358823', '35353721', '35339837', '35182163', '35178861', '35134991', '35123559', '35083767', '35075369', '35067138', '35062105', '35041118', '34979843', '34953495', '34915785', '34732782', '34684736', '34674626', '34671997', '34623042', '34622509', '34587458', '34564665', '34514909', '34509798', '34490751', '34428056', '34418482', '34378386', '34339867', '34246970', '34229452', '34086100', '34033815', '34020238', '33969634', '33933802', '33907227', '33877385', '33865536', '33848098', '33845715', '33769172', '33749749', '33733877', '33730937', '33730670', '33724556', '33713178', '33684465', '33678314', '33677248', '33676300', '33673002', '33671106', '33620548', '33617922', '33611191', '33577902', '33572896', '33555948', '33550186', '33541510', '33508353', '33481035', '33472119', '33465696', '33459228', '33360794', '33347575', '33300466', '33285580', '33264297', '33248847', '33201714', '33156711', '33038545', '33035510', '33002524', '32999162', '32945626', '32906729', '32891862']",100
"Rotenone, Dactinol",C=C(C)C1CC2=C(C=CC3=C2OC2COC4=C(C=C(OC)C(OC)=C4)C2C3=O)O1,DTXSID6021248,[],0
T-butyl hydroperoxide,CC(C)(C)OO,DTXSID9024693,"['35457223', '35367421', '35339497', '34777682', '34641329', '34556628', '34426259', '34348126', '34344447', '34199487', '33891955', '33672046', '33561764', '33406386', '32898619', '32892384', '32812103', '32652517', '32454932', '32415938', '32385548', '32305872', '32290603', '32070758', '31978521', '31920129', '31839625', '31756163', '31478545', '31295412', '31221142', '30980814', '30807830', '30798349', '30668448', '30400658', '30353656', '30272282', '29987924', '29935159', '29932202', '29804278', '29710707', '29644347', '29575654', '29554100', '29549414', '29518773', '29432895', '29425713', '29362666', '29236859', '29144408', '29128606', '29111459', '29080823', '29066411', '28981117', '28975372', '28956831', '28890200', '28735729', '28452956', '28367450', '28188924', '28110191', '28029692', '28025122', '27959441', '27888128', '27545589', '27522666', '27511913', '27396622', '26923737', '26879328', '26853962', '26798422', '26708231', '26626254', '26616280', '26593436', '26473917', '26457919', '26275128', '26189454', '26052623', '26028482', '25981820', '25867829', '25773602', '25715660', '25685255', '25681780', '25656576', '25642978', '25533999', '25495256', '25308193', '25007957']",100
Fialuridine,O=C1NC(=O)N(C2OC(CO)C(O)C2F)C=C1I,NA,"['33022361', '32730777', '30988136', '30915487', '28919358', '27143246', '27046439', '24744351', '24736310', '21386809', '19665816', '19164483', '18635603', '16607546', '14607828', '11306477', '11293802', '11144657', '11027231', '10619755', '10588540', '10537296', '10022310', '9670781', '9258627', '9185783', '9111511', '9071726', '8797571', '8853935', '8726039', '8598883', '8598882', '8598881', '8598880', '8598879', '8622980', '8901088', '8739593', '8749901', '7565955', '7565947', '7585087', '7878856', '7878854', '7860738', '7716182', '7991573', '7808443', '7811009', '8038356']",51
Amoxicillin,CC1(C)SC2C(NC(=O)C(N)C3=CC=C(O)C=C3)C(=O)N2C1C(=O)O,DTXSID3037044,"['35902928', '35839907', '35752026', '35715971', '35644665', '35604027', '35533793', '35409687', '35381365', '35339554', '35094373', '35046066', '35041328', '35007176', '34952454', '34769015', '34767876', '34718582', '34407048', '34380446', '34161555', '34128756', '34120851', '34080718', '34060145', '34034971', '34016669', '34000058', '33927718', '33902969', '33864401', '33852713', '33818360', '33740276', '33686529', '33674015', '33471786', '33359074', '33278067', '33232565', '33120797', '33116504', '33076161', '33049305', '33044496', '32933574', '32928381', '32895570', '32891946', '32888018', '32866265', '32841941', '32779328', '32777075', '32653795', '32564343', '32353167', '32270213', '32198411', '32196862', '32183752', '32119998', '31912576', '31905014', '31802873', '31752750', '31733247', '31693498', '31649215', '31628740', '31614216', '31606563', '31571276', '31547196', '31434673', '31432468', '31423694', '31393058', '31287969', '31232948', '31195950', '31128553', '31116821', '31072798', '31068344', '31015527', '30965213', '30951424', '30932389', '30909281', '30824653', '30809761', '30788839', '30784327', '30768973', '30691878', '30689630', '30592257', '30497441', '30456813']",100
Ceftriaxone,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSC3=NC(=O)C(=O)NN3C)CSC12)C1=CSC(N)=N1,DTXSID0022773,"['36030663', '35924433', '35752026', '35409687', '34946504', '34839007', '34802899', '34633841', '34304706', '34252425', '34235734', '34225556', '34128756', '34036552', '33947475', '33559255', '33371859', '33322348', '33268669', '33089741', '33076161', '33071038', '33025449', '32933574', '32927931', '32891946', '32811176', '32712655', '32390087', '32340872', '32258103', '32196665', '32173352', '32171281', '32144089', '32129853', '32008166', '31971241', '31900561', '31845563', '31661358', '31655921', '31651255', '31641170', '31432468', '31407809', '31235630', '31220276', '31201049', '31171414', '31026083', '30936104', '30831337', '30824845', '30778550', '30733068', '30359322', '30180803', '30172223', '30156510', '30154934', '30102733', '30078239', '29949502', '29658459', '29524538', '29469697', '29417764', '29386497', '29377708', '29187917', '29045497', '28957452', '28828608', '28698584', '28658620', '28657382', '28631864', '28620220', '28600792', '28552832', '28499407', '28343354', '28204495', '28128086', '28033162', '27975300', '27959419', '27899142', '27773601', '27718120', '27402682', '27354390', '27301015', '27133445', '27118305', '27014770', '26956734', '26891697', '26861954']",100
Foscarnet,C(=O)(O)P(=O)(O)O,DTXSID0048478,"['35842662', '35240904', '35122895', '34864943', '34556034', '34534396', '34137387', '33270162', '33197929', '33070144', '33053448', '32417677', '32315708', '31981100', '31940473', '31621449', '31514101', '31282759', '31054984', '31046020', '30829057', '30586840', '29989279', '29896671', '29795416', '29790481', '29650261', '29579856', '29380479', '28135776', '27495775', '27270290', '27109985', '27043241', '26900992', '26844400', '25963934', '25301103', '25203631', '24742953', '24277030', '24145525', '24032509', '23870704', '23407543', '23305775', '22568135', '22474112', '22299626', '22044356', '22001948', '21827432', '21817196', '21719392', '21406577', '21120731', '21095209', '20720240', '20414753', '19996825', '19843979', '19725597', '19524486', '19483753', '19067913', '18652557', '18260115', '18221163', '18096480', '18027349', '17461994', '17455689', '17341536', '17313465', '16972242', '16964823', '16765457', '16763222', '16688677', '16515483', '16157264', '16123716', '15789440', '15708636', '15645613', '15588117', '15528135', '15489872', '15361907', '15319096', '15164383', '15155152', '15073671', '15070664', '15067708', '14739146', '14719848', '14557291', '12919084', '12814829']",100
Ampicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,DTXSID4022602,"['36232947', '36143966', '35924433', '35918614', '35902928', '35851132', '35839907', '35752026', '35604027', '35594950', '35533793', '35447105', '35377133', '35339554', '35335296', '35210541', '35192646', '35100987', '35094373', '35046066', '35041328', '35007176', '34953344', '34937189', '34923543', '34837416', '34806299', '34769015', '34718582', '34658275', '34642081', '34490566', '34460303', '34435316', '34407048', '34380446', '34324917', '34287268', '34152824', '34128756', '34105899', '34080718', '34072443', '34034971', '34002610', '33915741', '33902969', '33764686', '33740276', '33735856', '33674433', '33611361', '33495227', '33493498', '33479520', '33471786', '33453031', '33402822', '33378295', '33359074', '33339207', '33288321', '33278067', '33186599', '33125394', '33085463', '33045345', '32944771', '32941946', '32888018', '32878553', '32841941', '32783764', '32777075', '32721604', '32712655', '32664441', '32650057', '32551597', '32500262', '32462721', '32357895', '32356964', '32353167', '32270213', '32220521', '32198411', '32196862', '32183752', '32182393', '32169656', '32163464', '32145481', '32143194', '32047978', '32003660', '31912576', '31905014', '31845113', '31838036']",100
